component,metric,Selected
Core7 (Socket 0),L3MPI,x
Core7 (Socket 0),L2MPI,x
Core7 (Socket 0),C0res%,x
Core7 (Socket 0),C1res%,x
Core7 (Socket 0),C3res%,x
Core7 (Socket 0),C6res%,x
Core7 (Socket 0),C7res%,x
Core7 (Socket 0),TEMP,x
Core7 (Socket 0),INST,x
Core7 (Socket 0),ACYC,x
Core7 (Socket 0),TIME(ticks),x
Core7 (Socket 0),PhysIPC,x
Core7 (Socket 0),PhysIPC%,x
Core7 (Socket 0),INSTnom,x
Core7 (Socket 0),INSTnom%,x
Core8 (Socket 0),EXEC,x
Core8 (Socket 0),IPC,x
Core8 (Socket 0),FREQ,x
Core8 (Socket 0),AFREQ,x
Core8 (Socket 0),CFREQ,x
Core8 (Socket 0),L3MISS,x
Core8 (Socket 0),L2MISS,x
Core8 (Socket 0),L3HIT,x
Core8 (Socket 0),L2HIT,x
Core8 (Socket 0),L3MPI,x
Core8 (Socket 0),L2MPI,x
Core8 (Socket 0),C0res%,x
Core8 (Socket 0),C1res%,x
Core8 (Socket 0),C3res%,x
Core8 (Socket 0),C6res%,x
Core8 (Socket 0),C7res%,x
Core8 (Socket 0),TEMP,x
Core8 (Socket 0),INST,x
Core8 (Socket 0),ACYC,x
Core8 (Socket 0),TIME(ticks),x
Core8 (Socket 0),PhysIPC,x
Core8 (Socket 0),PhysIPC%,x
Core8 (Socket 0),INSTnom,x
Core8 (Socket 0),INSTnom%,x
Core9 (Socket 0),EXEC,x
Core9 (Socket 0),IPC,x
Core9 (Socket 0),FREQ,x
Core9 (Socket 0),AFREQ,x
Core9 (Socket 0),CFREQ,x
Core9 (Socket 0),L3MISS,x
Core9 (Socket 0),L2MISS,x
Core9 (Socket 0),L3HIT,x
Core9 (Socket 0),L2HIT,x
Core9 (Socket 0),L3MPI,x
Core9 (Socket 0),L2MPI,x
Core9 (Socket 0),C0res%,x
Core9 (Socket 0),C1res%,x
Core9 (Socket 0),C3res%,x
Core9 (Socket 0),C6res%,x
Core9 (Socket 0),C7res%,x
Core9 (Socket 0),TEMP,x
Core9 (Socket 0),INST,x
Core9 (Socket 0),ACYC,x
Core9 (Socket 0),TIME(ticks),x
Core9 (Socket 0),PhysIPC,x
Core9 (Socket 0),PhysIPC%,x
Core9 (Socket 0),INSTnom,x
Core9 (Socket 0),INSTnom%,x
Core10 (Socket 0),EXEC,x
Core10 (Socket 0),IPC,x
Core10 (Socket 0),FREQ,x
Core10 (Socket 0),AFREQ,x
Core10 (Socket 0),CFREQ,x
Core10 (Socket 0),L3MISS,x
Core10 (Socket 0),L2MISS,x
Core10 (Socket 0),L3HIT,x
Core10 (Socket 0),L2HIT,x
Core10 (Socket 0),L3MPI,x
Core10 (Socket 0),L2MPI,x
Core10 (Socket 0),C0res%,x
Core10 (Socket 0),C1res%,x
Core10 (Socket 0),C3res%,x
Core10 (Socket 0),C6res%,x
Core10 (Socket 0),C7res%,x
Core10 (Socket 0),TEMP,x
Core10 (Socket 0),INST,x
Core10 (Socket 0),ACYC,x
Core10 (Socket 0),TIME(ticks),x
Core10 (Socket 0),PhysIPC,x
Core10 (Socket 0),PhysIPC%,x
Core10 (Socket 0),INSTnom,x
Core10 (Socket 0),INSTnom%,x
Core11 (Socket 0),EXEC,x
Core11 (Socket 0),IPC,x
Core11 (Socket 0),FREQ,x
Core11 (Socket 0),AFREQ,x
Core11 (Socket 0),CFREQ,x
Core11 (Socket 0),L3MISS,x
Core11 (Socket 0),L2MISS,x
Core11 (Socket 0),L3HIT,x
Core11 (Socket 0),L2HIT,x
Core11 (Socket 0),L3MPI,x
Core11 (Socket 0),L2MPI,x
Core11 (Socket 0),C0res%,x
Core11 (Socket 0),C1res%,x
Core11 (Socket 0),C3res%,x
Core11 (Socket 0),C6res%,x
Core11 (Socket 0),C7res%,x
Core11 (Socket 0),TEMP,x
Core11 (Socket 0),INST,x
Core11 (Socket 0),ACYC,x
Core11 (Socket 0),TIME(ticks),x
Core11 (Socket 0),PhysIPC,x
Core11 (Socket 0),PhysIPC%,x
Core11 (Socket 0),INSTnom,x
Core11 (Socket 0),INSTnom%,x
Core12 (Socket 0),EXEC,x
Core12 (Socket 0),IPC,x
Core12 (Socket 0),FREQ,x
Core12 (Socket 0),AFREQ,x
Core12 (Socket 0),CFREQ,x
Core12 (Socket 0),L3MISS,x
Core12 (Socket 0),L2MISS,x
Core12 (Socket 0),L3HIT,x
Core12 (Socket 0),L2HIT,x
Core12 (Socket 0),L3MPI,x
Core12 (Socket 0),L2MPI,x
Core12 (Socket 0),C0res%,x
Core12 (Socket 0),C1res%,x
Core12 (Socket 0),C3res%,x
Core12 (Socket 0),C6res%,x
Core12 (Socket 0),C7res%,x
Core12 (Socket 0),TEMP,x
Core12 (Socket 0),INST,x
Core12 (Socket 0),ACYC,x
Core12 (Socket 0),TIME(ticks),x
Core12 (Socket 0),PhysIPC,x
Core12 (Socket 0),PhysIPC%,x
Core12 (Socket 0),INSTnom,x
Core12 (Socket 0),INSTnom%,x
Core13 (Socket 0),EXEC,x
Core13 (Socket 0),IPC,x
Core13 (Socket 0),FREQ,x
Core13 (Socket 0),AFREQ,x
Core13 (Socket 0),CFREQ,x
Core13 (Socket 0),L3MISS,x
Core13 (Socket 0),L2MISS,x
Core13 (Socket 0),L3HIT,x
Core13 (Socket 0),L2HIT,x
Core13 (Socket 0),L3MPI,x
Core13 (Socket 0),L2MPI,x
Core13 (Socket 0),C0res%,x
Core13 (Socket 0),C1res%,x
Core13 (Socket 0),C3res%,x
Core13 (Socket 0),C6res%,x
Core13 (Socket 0),C7res%,x
Core13 (Socket 0),TEMP,x
Core13 (Socket 0),INST,x
Core13 (Socket 0),ACYC,x
Core13 (Socket 0),TIME(ticks),x
Core13 (Socket 0),PhysIPC,x
Core13 (Socket 0),PhysIPC%,x
Core13 (Socket 0),INSTnom,x
Core13 (Socket 0),INSTnom%,x
Core14 (Socket 0),EXEC,x
Core14 (Socket 0),IPC,x
Core14 (Socket 0),FREQ,x
Core14 (Socket 0),AFREQ,x
Core14 (Socket 0),CFREQ,x
Core14 (Socket 0),L3MISS,x
Core14 (Socket 0),L2MISS,x
Core14 (Socket 0),L3HIT,x
Core14 (Socket 0),L2HIT,x
Core14 (Socket 0),L3MPI,x
Core14 (Socket 0),L2MPI,x
Core14 (Socket 0),C0res%,x
Core14 (Socket 0),C1res%,x
Core14 (Socket 0),C3res%,x
Core14 (Socket 0),C6res%,x
Core14 (Socket 0),C7res%,x
Core14 (Socket 0),TEMP,x
Core14 (Socket 0),INST,x
Core14 (Socket 0),ACYC,x
Core14 (Socket 0),TIME(ticks),x
Core14 (Socket 0),PhysIPC,x
Core14 (Socket 0),PhysIPC%,x
Core14 (Socket 0),INSTnom,x
Core14 (Socket 0),INSTnom%,x
Core15 (Socket 0),EXEC,x
Core15 (Socket 0),IPC,x
Core15 (Socket 0),FREQ,x
Core15 (Socket 0),AFREQ,x
Core15 (Socket 0),CFREQ,x
Core15 (Socket 0),L3MISS,x
Core15 (Socket 0),L2MISS,x
Core15 (Socket 0),L3HIT,x
Core15 (Socket 0),L2HIT,x
Core15 (Socket 0),L3MPI,x
Core15 (Socket 0),L2MPI,x
Core15 (Socket 0),C0res%,x
Core15 (Socket 0),C1res%,x
Core15 (Socket 0),C3res%,x
Core15 (Socket 0),C6res%,x
Core15 (Socket 0),C7res%,x
Core15 (Socket 0),TEMP,x
Core15 (Socket 0),INST,x
Core15 (Socket 0),ACYC,x
Core15 (Socket 0),TIME(ticks),x
Core15 (Socket 0),PhysIPC,x
Core15 (Socket 0),PhysIPC%,x
Core15 (Socket 0),INSTnom,x
Core15 (Socket 0),INSTnom%,x
Core16 (Socket 0),EXEC,x
Core16 (Socket 0),IPC,x
Core16 (Socket 0),FREQ,x
Core16 (Socket 0),AFREQ,x
Core16 (Socket 0),CFREQ,x
Core16 (Socket 0),L3MISS,x
Core16 (Socket 0),L2MISS,x
Core16 (Socket 0),L3HIT,x
Core16 (Socket 0),L2HIT,x
Core16 (Socket 0),L3MPI,x
Core16 (Socket 0),L2MPI,x
Core16 (Socket 0),C0res%,x
Core16 (Socket 0),C1res%,x
Core16 (Socket 0),C3res%,x
Core16 (Socket 0),C6res%,x
Core16 (Socket 0),C7res%,x
Core16 (Socket 0),TEMP,x
Core16 (Socket 0),INST,x
Core16 (Socket 0),ACYC,x
Core16 (Socket 0),TIME(ticks),x
Core16 (Socket 0),PhysIPC,x
Core16 (Socket 0),PhysIPC%,x
Core16 (Socket 0),INSTnom,x
Core16 (Socket 0),INSTnom%,x
Core17 (Socket 0),EXEC,x
Core17 (Socket 0),IPC,x
Core17 (Socket 0),FREQ,x
Core17 (Socket 0),AFREQ,x
Core17 (Socket 0),CFREQ,x
Core17 (Socket 0),L3MISS,x
Core17 (Socket 0),L2MISS,x
Core17 (Socket 0),L3HIT,x
Core17 (Socket 0),L2HIT,x
Core17 (Socket 0),L3MPI,x
Core17 (Socket 0),L2MPI,x
Core17 (Socket 0),C0res%,x
Core17 (Socket 0),C1res%,x
Core17 (Socket 0),C3res%,x
Core17 (Socket 0),C6res%,x
Core17 (Socket 0),C7res%,x
Core17 (Socket 0),TEMP,x
Core17 (Socket 0),INST,x
Core17 (Socket 0),ACYC,x
Core17 (Socket 0),TIME(ticks),x
Core17 (Socket 0),PhysIPC,x
Core17 (Socket 0),PhysIPC%,x
Core17 (Socket 0),INSTnom,x
Core17 (Socket 0),INSTnom%,x
Core18 (Socket 0),EXEC,x
Core18 (Socket 0),IPC,x
Core18 (Socket 0),FREQ,x
