==================================================
AFFINITY COMBINATIONS SUMMARY
Total Unique Combinations to Test: 116
P-Cores Available: 8, E-Cores Available: 12
==================================================
Index | P-Cores | E-Cores | Total | Combination (Representative)
36    | 2       | 11      | 13    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
37    | 2       | 12      | 14    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
38    | 3       | 0       | 3     | [0, 1, 6]
39    | 3       | 1       | 4     | [0, 1, 6, 2]
40    | 3       | 2       | 5     | [0, 1, 6, 2, 3]
41    | 3       | 3       | 6     | [0, 1, 6, 2, 3, 4]
42    | 3       | 4       | 7     | [0, 1, 6, 2, 3, 4, 5]
43    | 3       | 5       | 8     | [0, 1, 6, 2, 3, 4, 5, 10]
44    | 3       | 6       | 9     | [0, 1, 6, 2, 3, 4, 5, 10, 11]
45    | 3       | 7       | 10    | [0, 1, 6, 2, 3, 4, 5, 10, 11, 12]
46    | 3       | 8       | 11    | [0, 1, 6, 2, 3, 4, 5, 10, 11, 12, 13]
47    | 3       | 9       | 12    | [0, 1, 6, 2, 3, 4, 5, 10, 11, 12, 13, 14]
48    | 3       | 10      | 13    | [0, 1, 6, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
49    | 3       | 11      | 14    | [0, 1, 6, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
50    | 3       | 12      | 15    | [0, 1, 6, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
51    | 4       | 0       | 4     | [0, 1, 6, 7]
52    | 4       | 1       | 5     | [0, 1, 6, 7, 2]
53    | 4       | 2       | 6     | [0, 1, 6, 7, 2, 3]
54    | 4       | 3       | 7     | [0, 1, 6, 7, 2, 3, 4]
55    | 4       | 4       | 8     | [0, 1, 6, 7, 2, 3, 4, 5]
56    | 4       | 5       | 9     | [0, 1, 6, 7, 2, 3, 4, 5, 10]
57    | 4       | 6       | 10    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11]
58    | 4       | 7       | 11    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12]
59    | 4       | 8       | 12    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12, 13]
60    | 4       | 9       | 13    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12, 13, 14]
61    | 4       | 10      | 14    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
62    | 4       | 11      | 15    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
63    | 4       | 12      | 16    | [0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
64    | 5       | 0       | 5     | [0, 1, 6, 7, 8]
65    | 5       | 1       | 6     | [0, 1, 6, 7, 8, 2]
66    | 5       | 2       | 7     | [0, 1, 6, 7, 8, 2, 3]
67    | 5       | 3       | 8     | [0, 1, 6, 7, 8, 2, 3, 4]
68    | 5       | 4       | 9     | [0, 1, 6, 7, 8, 2, 3, 4, 5]
69    | 5       | 5       | 10    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10]
70    | 5       | 6       | 11    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11]
71    | 5       | 7       | 12    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12]
72    | 5       | 8       | 13    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13]
73    | 5       | 9       | 14    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13, 14]
74    | 5       | 10      | 15    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
75    | 5       | 11      | 16    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
76    | 5       | 12      | 17    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
77    | 6       | 0       | 6     | [0, 1, 6, 7, 8, 9]
78    | 6       | 1       | 7     | [0, 1, 6, 7, 8, 9, 2]
79    | 6       | 2       | 8     | [0, 1, 6, 7, 8, 9, 2, 3]
80    | 6       | 3       | 9     | [0, 1, 6, 7, 8, 9, 2, 3, 4]
81    | 6       | 4       | 10    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5]
82    | 6       | 5       | 11    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10]
83    | 6       | 6       | 12    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11]
84    | 6       | 7       | 13    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12]
85    | 6       | 8       | 14    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13]
86    | 6       | 9       | 15    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14]
87    | 6       | 10      | 16    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
88    | 6       | 11      | 17    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
89    | 6       | 12      | 18    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
90    | 7       | 0       | 7     | [0, 1, 6, 7, 8, 9, 18]
91    | 7       | 1       | 8     | [0, 1, 6, 7, 8, 9, 18, 2]
92    | 7       | 2       | 9     | [0, 1, 6, 7, 8, 9, 18, 2, 3]
93    | 7       | 3       | 10    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4]
94    | 7       | 4       | 11    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5]
95    | 7       | 5       | 12    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10]
96    | 7       | 6       | 13    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11]
97    | 7       | 7       | 14    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12]
98    | 7       | 8       | 15    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13]
99    | 7       | 9       | 16    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14]
100   | 7       | 10      | 17    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
101   | 7       | 11      | 18    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
102   | 7       | 12      | 19    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
103   | 8       | 0       | 8     | [0, 1, 6, 7, 8, 9, 18, 19]
104   | 8       | 1       | 9     | [0, 1, 6, 7, 8, 9, 18, 19, 2]
105   | 8       | 2       | 10    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3]
106   | 8       | 3       | 11    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4]
107   | 8       | 4       | 12    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5]
108   | 8       | 5       | 13    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10]
109   | 8       | 6       | 14    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11]
110   | 8       | 7       | 15    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12]
111   | 8       | 8       | 16    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13]
112   | 8       | 9       | 17    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14]
113   | 8       | 10      | 18    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
114   | 8       | 11      | 19    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
115   | 8       | 12      | 20    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
==================================================

Prime95 process not found.
